Job Title,Requirements
Engineer (Autonomous Vehicle),"Test Planning - Develop detailed test plans for autonomous vehicle field tests, considering various scenarios, environments, and operational conditions.
Test Execution - Conduct field tests by operating autonomous vehicles, collecting data, and monitoring system performance. Ensure adherence to safety protocols and regulations.
Data Collection and Analysis - Gather data during test runs, including sensor data, vehicle telemetry, and environmental conditions. Analyze data to identify issues, anomalies, or areas for improvement. Log technical issues encountered during field tests. Provide timely feedback to the development team to support iterative improvements.
Documentation - Maintain detailed records of test procedures, results, and observations.
Safety Compliance - Ensure compliance with safety regulations and best practices, both during testing and while operating in the port.
Continuous Learning - Stay up-to-date with the latest developments in autonomous vehicle technology, industry standards, and safety practices.
A good degree in Mechanical or Electrical Engineering; and preferably with specialisation in Autonomous Vehicle or related technology like sensors, automotive hardware, perception, localization, and control systems
Knowledge of data visualization and reporting tools
Able to work in a dynamic, fast-paced environment
Strong problem-solving, communication and teamwork skills; with attention to details
A Class 3 driving license preferred
Fresh graduates are welcome
For working individuals, experience in autonomous vehicle testing and regulatory frameworks related to autonomous vehicles will have an advantage"
Service Engineer (Equipment Engineering),"Diploma in Electrical and/or Mechatronics Engineering
Enjoy working outdoors and at height
Willing to work in PSA Tuas Terminal"
Inventory Planner,"NITEC in any discipline
Proficient in Microsoft office applications like Excel and Word
Preferably with previous experience as an inventory planner or in a similar role
Preferably with experience in Maximo and/or Oracle Fusion"
BIM Modeller,"Diploma in either Civil Engineering, Sustainable Urban Design & Engineering, Construction Engineering, Architecture or equivalent; or BCA Specialist Diploma in Building Information Modelling
Competent in AutoCAD 2D/3D and Revit
Knowledge of e-BIM submission system
Preferably with at least 3 years of working experience as BIM Modeller/Co-ordinator for infrastructure works and sub-utilities like drainage/sewerage"
Deputy Manager / Manager (Green Mobility),"developing and designing battery systems, including specification, selection, and integration of battery technologies;
conducting research, analyzing data and proposing innovative solutions to enhance battery lifespan, performance, efficiency, safety, and circularity;
collaborating with cross-functional teams to support the development and testing of battery prototypes;
performing failure analysis and troubleshooting of battery systems to identify and resolve technical issues;
creating technical documentation, reports, and presentations related to battery engineering projects;
ensuring compliance with relevant safety standards and regulations throughout the battery development process; and
staying up-to-date with industry trends, advancements and regulations related to battery technologies.
Degree in Electrical Engineering, Chemical Engineering, or a related field
Deep understanding of battery chemistry, electrochemical processes, and cell design, preferably with experience in various battery chemistries (eg lithium-ion, solid-state, flow batteries)
Strong knowledge of battery application (eg electric mobility and energy storage technologies) and lifecycle management (eg 2ndlife reuse and recycling) including state of health monitoring
Experience in battery design, modeling, testing and validation
Proficiency in battery management systems, electrical circuit design and simulation tools
Familiarity with industry standards and regulations related to battery safety, performance and 2ndlife reuse
Excellent problem-solving skills and ability to work in a collaborative team environment
Strong communication skills to convey technical concepts effectively"
Deputy Manager (Sustainability),"A degree in Engineering or a Science-based discipline
Related working experience
Passionate about sustainability and a green future
Good skills in idea conceptualization, communications, analysis and problem solving"
HSS Duty Manager,"Assume command & control of the Emergency Response Team during emergency incidents
Support & coordinate with government agencies on fire, security and pandemic follow-ups
Report & escalation of incident
Plan HSS/fire awareness training, program and inspections
Plan and coordinate fire, rescue and station drills
Plan red teaming drills
Develop maintenance schedule for operational equipment and vehicles
Manage security service provider including escalation of cases
Ensure compliance of ISPS & CERT requirements
Escalate major system issues pertaining to access control systems, Pass Systems and Gates
Familiar with FSM duties
Prepare and review contingency plans, SOPs & RA
Possessed a recognised Polytechnic Diploma or Degree with a minimum of 5 years’ relevant experience
Holds leadership roles in SCDF or SPF
SCDF Specialist track preferred (EMT, Hazmat, Marine) or SPF & security related experience preferred
Possess excellent interpersonal skills to maintain rapport with internal and external parties
Efficient in administrative skills
Able to perform shift duties
Candidates with FSM certification will have an added advantage
Candidate must be physically fit to perform operational duties
Willing to work in Tuas"
Engineer (Smart System Solutions – Smart Engineering),"Degree in Electrical / Mechanical / Mechatronics / Computer / System Engineering
Proficient in processing large data sets using programming tools like Python
Knowledge and experience in database programming language such as SQL/HiveQL, scripting in Linux and data visualization development with tools such as Power BI, is preferred
Keen to learn advanced analytics techniques on Big Data platforms such as Hadoop
Passionate about technology and innovation
Strong skills in leadership, communication, teaming, analysis and problem-solving"
Civil Engineer / Architect,"plan, design, implement and manage projects in port infrastructure and buildings
work with internal stakeholders and external agencies from project conceptualisation to completion
design green buildings with consideration for climate and ecology
drive the implementation of BIM/Integrated Digital Delivery (IDD) digital solutions within the company
lead and develop a team of BIM drafters
Degree in Civil Engineering / Environmental Engineering / Architecture
Competent in Autodesk Revit, SketchUp and other BIM tools
Preferably with at least 3 years’ experience in planning and BIM modelling
Knowledge of Singapore Green Mark and the Corenet eSubmission System will be an added advantage"
Operations Assistant (Tuas Customer Service Coordinator),• Minimum GCE 'O' Levels or NITEC in any discipline• Willing to work on rotating shifts• Good working knowledge of MS Excel and Powerpoint• Ability to pay meticulous attention to details• Good organisational and time management skills
Container Equipment Specialist (Yard Crane),• Able to work at heights• Work on rotating shift
Accounts Executive (Billing),• Diploma in Accountancy or equivalent• Minimum 1 year of relevant working experience• Meticulous with strong analytical skills• Possess good interpersonal and organizational skills
Chemist,• Degree in Chemistry• Willing to work outdoors and flexible hours when required• Detailed and results driven• Good interpersonal and communication skills
Assistant Manager / Deputy Manager (IT Procurement),"Requirements• Possess a degree with at least 3 years’ of experience in sourcing and procurement• A good understanding of strategic sourcing, tendering process, contract management, contract negotiation and contract governance• Excellent communication skills, effective influencing skills and skilled in contract negotiations• Able to establish good working relationships with internal and external stakeholders so as to meet PSA’s business needs• Resourceful, driven and able to drive innovation, champion change and work collaboratively and achieve results• Experience with e-procurement software/ platforms preferred (for e.g. Ariba, Coupa, Oracle, Zycus, etc.)• Candidates with experience in the procurement of IT services and products are preferred• Those with CIPS certification will have an added advantage"
Assistant HR Executive / Deputy HR Executive (HR Excellence),"• Possess a Diploma in Human Resources or a related field is preferred• Has some proven experience as a HR administrator or in a similar administrative role, demonstrating HR operationsknowledge and attention to detail• Experience with Human Resources Information Systems and other HR-related software will be beneficial• Proficient in Microsoft Excel and comfortable working with numbers• Basic knowledge of MS Word, Powerpoint and Power BI will be an advantage• Meticulous, detail oriented & organisedHave a high level of discretion and confidentiality in handling sensitive employee information• Able to work independently and has good interpersonal skills"
Operations Supervisor (ChemCare),• Higher NITEC / NITEC in any discipline• Possess Class 3 or Class 3A license
HR Recruitment Coordinator (6 months contract with possible extension/conversion),"Requirements• Possess at least NITEC qualifications• At least 1 year relevant work experience in a resourcing function, in particular the end-to-end recruitment process.• Proficient in MS Office and prior experience using Peoplesoft• Must be a good team player and able to work independently• Strong organizational skills with the ability to deal with high volume of work• Results driven and meticulous"
Data Engineer,"• Possess a good Bachelor’s degree in Computer Science or Computer Engineering; a Specialization in Software Engineering will be   advantageous.• Those with 2-3 years of related work experience will be preferred.• Good grasp of Software Engineering principles such as Requirements Gathering (both functional and non-functional), Modular & Re-   usable Design.• Proficient in ETL using programming language /tools such as Python and/or SSIS and/or Informatica Power Centre• Able to develop data applications including integration with ICT systems, build APIs and web applications via .Java and/or Python• Familiarity with MS SQL, PostgreSQL or Oracle is preferred.• There will an added advantage for any of the following:-o Proficient in Data Modelling and Data Mining.o Experience in designing and building scalable database schema for applications.o Understanding of Object-Oriented Design.o Knowledge of or prior work experience on Big Data platforms such as Hadoop or using Spark.o Experience in the cloud environment setup using Microsoft Azure"
Systems Engineer / Assistant Manager / Deputy Manager (Systems),"Be part of the team delivering IT infrastructure services for PSA Singapore, the world's busiest trans shipment port.In a dynamic and fast-paced environment, we are constantly challenged to design and deliver systems that are robust and reliable that meet the myriad needs of our growing business today, including our future fully-automated mega port at Tuas. We have a culture where you will be challenged to innovate, explore and adopt new technologies to improve the speed and quality of infrastructure service delivery and create new possibilities for our business.Together with our users, vendors and product owners, you will deliver and support highly available IT services comprising of Infrastructure, Middleware and Web technologies.Join us @ PSA ICT - Innovate. Create. Transform.Requirements"
Operations Supervisor (Gate Operations),"• At least 3 ‘O’ level credits, NITEC, ITC or equivalent• Able to work on shift"
Senior Human Resource Executive (Staff Benefits),"• Possess a good degree in any discipline• Good understanding of employment laws in Singapore, e.g. Employment Act, Child Development Co-Savings Act• Able to write well and have good communication and interpersonal skills• Meticulous and able to work with details• Able to work very independently in a dynamic environment• Excellent organising skills (planning, logistics and execution)"
IT Technician,"• Possess NITEC in Electronics (Computer & Networking) or Higher NITEC in Information technology• Experience in PC support, network equipment and network cabling support preferred• Able to work at heights• Good team player• Possess Class 3 driving licence"
Port+ Operations Operator (with warehouse forklift license / reach truck experience),• Possess forklift and reach truck license with at least 3 years' experience working in warehouse• Basic proficiency in English• Ability to work independently• Ability to handle the loading and unloading of heavy cargo• Confident of maneuvering the equipment in narrow spaces
Inventory Management Assistant,"• NITEC in Engineering, Logistics / Supply Chain or equivalent• Proficient in Microsoft Office applications like Excel and Word• At least 2 years of working experience in the logistic/warehouse field; and familiar with modern warehousing practices and method"
Port+ Assistant (Warehouse Operations Assistant) -,• Possess NITEC / GCE 'O' Level qualifications with at least 2 years relevant in warehousing environment• Ability to multitask• Good communication skills• Good team player• Possess Class 3 driving licence• Meticulous in details
Operations Supervisor (Yard Planning),• Higher NITEC / NITEC in any discipline• Willing to work on rotating shifts
Lashing Specialist,• Able to lift heavy objects and work at heights• Willing to work on rotating shift and outdoors
Operations Executive,"Requirements• Degree in any discipline• Strong leadership, communication and interpersonal skills• Results oriented personality who thrives working in a dynamic environment"
Senior Manager (Business Development/M&A - SEA Indonesia),"Requirements• Good academic background and possess a degree in Accounting, Business, Economics, Engineering, Finance, IT or equivalent.• Minimum 9-10 years of business development experience, preferably in the Maritime, Supply Chain services in LLP, 4PL, Integrated Logistics industries• Tenacious strategic thinker with an active hands-on approach• Possess entrepreneurial drive and sharp business acumen• Proven track record of performing in a fast-paced and complex business environment• Strong communications and stakeholders’ management skills• Strong numerical literacy with complex modelling and analysis skills• Able to create and work with financial models and prepare financial analysis and scenarios to support BD work.• Able to influence and establish credibility with internal and external stakeholders to build collaborative relationships• Open to short-term travel overseas at short notice.• Prior overseas working experience or attachments will be a plus• Able to converse in Bahasa Indonesia"
Emergency Response Specialist,Requirements• Possess NITEC qualifications (N level with relevant experience will be considered)• Must have relevant experience in SCDF (NS included)• Able to work on shift
Container Handling Specialist (Prime Mover Driver),• Willing to work on rotating shifts• Applicants without driving license are welcome to apply as there will be training provided.
Inventory Planner,Requirements and skills:
Civil Technical Officer (Building Management),"• Diploma in Civil Engineering, Construction Engineering, Building or Facility Management"
Dormitory Supervisor,• Minimum Sec 2 (Express) or Sec 3 (Normal) or equivalent• Willing to work on rotating shifts
Undergraduate Scholarship - Infocomm Technology (ICT) Track,"We are looking for young talents who are passionate about making a difference and contributing towards our visionof orchestrating the global supply chain to join our Undergraduate Scholarship (UGS) programme.Discover new opportunities to fulfil your personal and professional aspirations by becoming a PSA Infocomm Technology (ICT) scholar.You can look forward to:• Internship opportunities• Structured development program designed for you to step up as future leader• Networking sessions with PSA leaders• Exclusive invites to corporate events and CSR activities• Being a part of our community of scholars, where like-minded peers and mentors can support youin your education journey and career developmentUpon graduation, you will embark on an exciting career with PSA, enjoying strategic developmentalopportunities such as stretch assignments, rotations and leadership training as we work alongside to co-create our future.Requirements• High learning agility and strong leadership abilities• Excellent analytical, communication and interpersonal skills• Embrace a dynamic work environment and international assignments• Good academic achievements:Infocomm Technologyo Pursuing a degree in Computing/Software/ Information Science/Cyber related disciplineso Passion for a career in infocomm technology spaceo Willing to perform standby duties during foundation years as part of your professional development"
Mechanical Engineer (M&E services),"• Degree in Mechanical Engineering• Familiar with local Code of Practices, Building and Fire Safety Regulations• Preferably with experience in the design and/or maintenance of M&E equipment and systems used in buildings"
Technical Officer (Infrastructure Management),"• Diploma in Civil Engineering, Construction Engineering, Building or Facility Management or related fields"
